Rider Name,Height(m),Weight(kg),Hometown,Team,UCI Ranking Points,UCI Ranking Position,Age,Nationality
Marc Soler,1.86,68,Vilanova i la Geltrú,UAE Team Emirates,494.43,109,29,ES
Marc Hirschi,1.74,61,Bern,UAE Team Emirates,776,55,24,CH
Felix Großschartner,1.84,64,Wels,UAE Team Emirates,304,209,29,AT
Jan Polanc,1.72,62,Kranj,UAE Team Emirates,224,271,30,SI
Brandon Mcnulty,1.83,69,Phoenix,UAE Team Emirates,499.43,105,24,US
Ryan Gibbons,1.81,70,Johannesburg,UAE Team Emirates,61,658,28,ZA
José Hodeg Álvaro,1.86,76,Montería,UAE Team Emirates,0,,26,CO
Sebastián Molano Juan,1.8,72,Paipa,UAE Team Emirates,346.43,183,28,CO
Stake Laengen Vegard,1.95,79,Fredrikstad,UAE Team Emirates,56.43000001,699,34,NO
Alessandro Covi,1.8,66,Borgomanero,UAE Team Emirates,266,242,24,IT
Juan Ayuso,1.83,65,Barcelona,UAE Team Emirates,800,53,20,ES
Jay Vine,1.84,69,Townsville,UAE Team Emirates,826.43,50,27,AU
Mikkel Bjerg,1.91,78,Copenhagen,UAE Team Emirates,109.43,445,24,DK
Rui Oliveira,1.84,69,Vila Nova de Gaia,UAE Team Emirates,173,326,26,PT
Domen Novak,1.81,70,Dolenja vas,UAE Team Emirates,185,312,27,SI
Sjoerd Bax,1.85,78,Gorinchem,UAE Team Emirates,267,240,27,NL
Michael Vink,1.9,73,Christchurch,UAE Team Emirates,10,1481,31,NZ
Finn Fisher-Black,1.89,73,Benenden,UAE Team Emirates,58,692,21,NZ
Ivo Oliveira,1.85,68,Vila Nova de Gaia,UAE Team Emirates,64,641,26,PT
Felix Groß,1.84,71,Feuchtwangen,UAE Team Emirates,42,829,24,DE
Guillaume Van Keirsbulck,1.91,89,Roeselare,Bingoal WB,39,868,32,BE
Marco Tizza,1.73,58,Giussano,Bingoal WB,127,407,31,IT
Kenneth Van Rooy,1.79,70,Turnhout,Bingoal WB,283,227,29,BE
Floris De Tier,1.72,60,Ghent,Bingoal WB,24,1098,31,BE
Matteo Malucelli,1.71,68,Forlì,Bingoal WB,70,619,29,IT
Alexis Guerin,1.76,65,Libourne,Bingoal WB,134,393,30,FR
Lennert Teugels,1.75,64,Opwijk,Bingoal WB,296.86,217,29,BE
Dimitri Peyskens,1.82,69,Uccle,Bingoal WB,69,621,31,BE
Patrick Lauk Karl,1.73,69,Kuressaare,Bingoal WB,136,387,26,EE
Rémy Mertz,1.75,70,Luxembourg,Bingoal WB,87,549,27,BE
Ludovic Robeet,1.94,75,Nivelles,Bingoal WB,57,694,28,BE
Julian Mertens,1.8,67,Turnhout,Bingoal WB,81,576,25,BE
Alexander Salby,1.76,68,Aabenraa,Bingoal WB,107.17,454,24,DK
Ceriel Desal,1.87,72,Roeselare,Bingoal WB,49,758,23,BE
Louis Blouwe,1.82,71,Izegem,Bingoal WB,41,838,23,BE
Luca Van Boven,1.79,68,Zottegem,Bingoal WB,32,951,23,BE
Nathan Vandepitte,1.92,80,Tielt,Bingoal WB,1,2266,22,FR
Dorian De Maeght,1.81,79,Elsene,Bingoal WB,3,2028,25,BE
Aaron Van Der Beken,1.85,66,Horebeke,Bingoal WB,2,2129,22,BE
Aaron Gate,1.8,71,Auckland,Bolton Equities Black Spoke,356,177,32,NZ
James Oram,1.83,68,Palmerston North,Bolton Equities Black Spoke,60,666,29,NZ
Rory Townsend,1.84,73,Kingston upon Thames,Bolton Equities Black Spoke,38,883,27,IE
Mark Stewart,1.8,70,Dundee,Bolton Equities Black Spoke,203,286,27,GB
Luke Mudgway,1.71,65,Palmerston North,Bolton Equities Black Spoke,53,728,26,NZ
James Fouché,1.86,71,Christchurch,Bolton Equities Black Spoke,139,380,24,NZ
Ryan Christensen,1.75,63,Hamilton,Bolton Equities Black Spoke,47,773,26,NZ
Matthew Bostock,1.83,69,Douglas,Bolton Equities Black Spoke,59,682,25,GB
Tom Sexton,1.83,71,Invercargill,Bolton Equities Black Spoke,91,533,24,NZ
Jacob Scott,1.82,68,Oldham,Bolton Equities Black Spoke,27,1043,27,GB
Regan Gough,1.83,71,Waipukurau,Bolton Equities Black Spoke,0,,26,NZ
Josh Burnett,1.87,73,Invercargill,Bolton Equities Black Spoke,25,1092,22,NZ
Ollie Jones,1.89,75,Upper Hutt,Bolton Equities Black Spoke,0,,26,NZ
George Jackson,1.89,74,Wellington,Bolton Equities Black Spoke,0,,23,NZ
Ethan Batt,1.9,76,Nelson,Bolton Equities Black Spoke,0,,24,NZ
Daniel Navarro,1.74,60,Salamanca,Burgos-BH,64,637,39,ES
Ángel Madrazo,1.71,61,Santander,Burgos-BH,8,1602,34,ES
Jetse Bol,1.84,71,Avenhorn,Burgos-BH,44,808,33,NL
Cyril Barthe,1.84,70,Sauveterre-de-Béarn,Burgos-BH,135,391,27,FR
Manuel Díaz José,1.77,64,Jaén,Burgos-BH,69,622,28,ES
Jesús Ezquerra,1.85,68,Adal-Treto,Burgos-BH,60,667,32,ES
Manuel Peñalver,1.77,67,Torrevieja,Burgos-BH,21,1154,24,ES
Ander Okamika,1.9,70,Lekeitio,Burgos-BH,61,663,29,ES
Antonio Angulo,1.75,67,El Llano Udías,Burgos-BH,26,1063,31,ES
Pelayo Sánchez,1.77,62,Tellego,Burgos-BH,74,599,22,ES
Victor Langellotti,1.77,64,Monaco,Burgos-BH,93,513,27,MC
Óscar Pelegrí,1.75,63,Castellón de la Plana,Burgos-BH,5,1854,28,ES
Camilo Ardila Andrés,1.7,59,Mariquita,Burgos-BH,8,1630,23,CO
Ángel Fuentes,1.9,77,Burgos,Burgos-BH,31,960,26,ES
Ángel Fernández Miguel,1.85,79,Santander,Burgos-BH,35,913,25,ES
Mario Aparicio,1.85,69,Aranda de Duero,Burgos-BH,28,1031,22,ES
Clément Alleno,1.8,69,Saint-Brieuc,Burgos-BH,34,930,22,FR
Alejandro Franco,1.75,58,Valladolid,Burgos-BH,10,1547,21,ES
Felipe Orts,1.79,70,Villajoyosa,Burgos-BH,5,1848,27,ES
Rodrigo Alvarez,1.75,65,Burgos,Burgos-BH,0,,23,ES
Eduard Prades,1.78,63,Alcanar,Caja Rural - Seguros RGA,127,408,35,ES
Fernando Barceló,1.74,64,Huesca,Caja Rural - Seguros RGA,188,309,27,ES
Orluis Aular,1.76,65,Nirgua,Caja Rural - Seguros RGA,157,355,26,VE
Michal Schlegel,1.84,72,Ústí nad Orlicí,Caja Rural - Seguros RGA,17,1238,27,CZ
Julen Amezqueta,1.74,63,Estella,Caja Rural - Seguros RGA,5,1839,29,ES
Alveiro Cepeda Jefferson,1.7,61,Quito,Caja Rural - Seguros RGA,60,672,27,EC
Jhojan García,1.68,55,Bogotá,Caja Rural - Seguros RGA,5,1862,25,CO
Joel Nicolau,1.76,66,Llofriu,Caja Rural - Seguros RGA,123,417,25,ES
Tomáš Bárta,1.89,79,Olomouc,Caja Rural - Seguros RGA,72,608,23,CZ
Daniel Babor,1.79,79,Beroun,Caja Rural - Seguros RGA,91,531,23,CZ
Kinfe Hailemichael Mulu,1.58,50,Adigrat,Caja Rural - Seguros RGA,0,,23,ET
David González,1.79,68,Fontiveros,Caja Rural - Seguros RGA,25,1087,27,ES
Roman Martín Sergio,1.82,69,Galapagar,Caja Rural - Seguros RGA,36,898,26,ES
Jokin Murguialday,1.73,57,Salvatierra,Caja Rural - Seguros RGA,17,1255,22,ES
Iúri Leitão,1.75,65,Viana do Castelo,Caja Rural - Seguros RGA,22,1135,24,PT
Jon Barrenetxea,1.88,74,Gámiz,Caja Rural - Seguros RGA,23,1118,22,ES
Abel Balderstone,1.79,61,Ullastrell,Caja Rural - Seguros RGA,19,1200,22,ES
Albeiro Pira Yesid,1.72,59,Siachoque,Caja Rural - Seguros RGA,4,1989,23,CO
Calum Johnston,1.73,55,Glasgow,Caja Rural - Seguros RGA,12,1431,24,GB
Joseba López,1.81,66,Vitoria,Caja Rural - Seguros RGA,0,,23,ES
Josu Etxeberria,1.78,65,Iturmendi,Caja Rural - Seguros RGA,0,,22,ES
Francesco Gavazzi,1.71,65,Morbegno,,70,617,38,IT
Vincenzo Albanese,1.75,70,Oliveto Citra,EOLO-Kometa,439,131,26,IT
Lorenzo Fortunato,1.7,57,Bologna,EOLO-Kometa,307,207,26,IT
Giovanni Lonardi,1.8,70,Verona,EOLO-Kometa,28,1023,26,IT
Mirco Maestri,1.82,73,Guastalla,EOLO-Kometa,64,638,31,IT
Mattia Bais,1.75,66,Rovereto,EOLO-Kometa,45,794,26,IT
Andrea Garosio,1.75,58,Brescia,EOLO-Kometa,42.40000001,820,29,IT
Erik Fetter,1.9,70,Budapest,EOLO-Kometa,127,410,22,HU
Davide Bais,1.85,66,Rovereto,EOLO-Kometa,100,486,24,IT
Samuele Rivi,1.87,72,Trente,EOLO-Kometa,30,985,24,IT
Alessandro Fancellu,1.72,62,Como,EOLO-Kometa,31,963,22,IT
Simone Bevilacqua,1.8,75,Thiene,EOLO-Kometa,0,,26,IT
Pablo Sevilla Diego,1.71,64,San Martín de la Vega,EOLO-Kometa,18,1216,27,ES
Davide Piganzoli,1.74,61,Morbegno,EOLO-Kometa,26,1070,20,IT
Alex Martín,1.74,60,Premiá de Mar,EOLO-Kometa,5,1875,23,ES
David Martin,1.77,68,Sevilla,EOLO-Kometa,8,1626,24,ES
Giovanni Carboni,1.8,61,Fano,Equipo Kern Pharma,34,925,27,IT
Roger Adrià,1.79,64,Barcelona,Equipo Kern Pharma,185,314,24,ES
Héctor Carretero,1.83,67,Madrigueras,Equipo Kern Pharma,5,1846,27,ES
Francisco Galván,1.76,71,Lliçà d'Amunt,Equipo Kern Pharma,101,485,25,ES
Urko Berrade,1.84,68,Pamplona,Equipo Kern Pharma,40,861,25,ES
Félix Parra José,1.71,57,Ossa de Montiel,Equipo Kern Pharma,51,740,26,ES
Vojtěch Řepa,1.84,71,Velká Bíteš,Equipo Kern Pharma,109,449,22,CZ
Martí Márquez,1.84,63,Llinars del Vallès,Equipo Kern Pharma,0,,27,ES
Raúl García Pierna,1.75,67,Tres Cantos,Equipo Kern Pharma,71,614,22,ES
Igor Arrieta,1.82,64,Uharte Arakil,Equipo Kern Pharma,52,736,20,ES
Iñigo Elosegui,1.88,64,Zierbena,Equipo Kern Pharma,32,946,25,ES
Jordi López,1.7,59,Badalona,Equipo Kern Pharma,7,1722,24,ES
Álex Jaime,1.83,68,Sarrià de Ter,Equipo Kern Pharma,13,1398,24,ES
Jon Agirre,1.73,54,Zumaia,Equipo Kern Pharma,19,1199,25,ES
Pau Miquel,1.8,60,Sant Quirze del Vallès,Equipo Kern Pharma,42,831,22,ES
Carlos García Pierna,1.71,54,Tres Cantos,Equipo Kern Pharma,19,1194,23,ES
Ibon Ruiz,1.78,63,Vitoria,Equipo Kern Pharma,16,1282,24,ES
Iván Cobo,1.86,63,El Astillero,Equipo Kern Pharma,10,1525,23,ES
Danny Van Der Tuuk,1.8,60,Assen,Equipo Kern Pharma,5,1856,23,NL
Eugenio Sánchez,1.79,60,Calpe,Equipo Kern Pharma,5,1878,23,ES
Mikel Retegi,1.77,64,Barañain,Equipo Kern Pharma,0,,21,ES
Pablo Castrillo,1.83,63,Jaca,Equipo Kern Pharma,0,,22,ES
José Lobato Juan,1.73,64,Trebujena,Euskaltel - Euskadi,22,1124,34,ES
Ángel Maté Luis,1.78,68,Madrid,Euskaltel - Euskadi,28,1018,38,ES
Mikel Bizkarra,1.65,53,Mañaria,Euskaltel - Euskadi,175,325,33,ES
Mikel Iturria,1.85,69,Urnieta,Euskaltel - Euskadi,27,1044,30,ES
Jesús Soto Antonio,1.75,66,Alcantarilla,Euskaltel - Euskadi,87,550,28,ES
Carlos Canal,1.79,70,Xinzo de Limia,Euskaltel - Euskadi,132,396,21,ES
Andoni López De Abetxuko,1.85,74,Salvatierra,Euskaltel - Euskadi,7,1719,23,ES
Henok Mulubrhan,1.76,60,Asmara,Green Project-Bardiani CSF-Faizanè,297,216,23,ER
Davide Gabburo,1.72,63,Bovolone,Green Project-Bardiani CSF-Faizanè,193,299,29,IT
Alessandro Tonelli,1.76,64,Brescia,Green Project-Bardiani CSF-Faizanè,135,389,30,IT
Luca Covili,1.8,58,Pavullo nel Frignano,Green Project-Bardiani CSF-Faizanè,145,373,26,IT
Samuele Zoccarato,1.83,74,Camposampiero,Green Project-Bardiani CSF-Faizanè,49,757,25,IT
Riccardo Lucca,1.84,74,Rovereto,Green Project-Bardiani CSF-Faizanè,54,722,26,IT
Martin Marcellusi,1.72,62,Roma,Green Project-Bardiani CSF-Faizanè,55,711,22,IT
Enrico Zanoncello,1.7,64,Isola della Scala,Green Project-Bardiani CSF-Faizanè,11,1453,25,IT
Mattia Petrucci,1.7,56,Verona,Green Project-Bardiani CSF-Faizanè,6,1791,22,IT
Omar El Gouzi,1.81,58,Peschiera del Garda,Green Project-Bardiani CSF-Faizanè,10,1518,23,IT
Jared Scott,1.83,66,Boulder,Green Project-Bardiani CSF-Faizanè,7,1733,20,US
August Jensen,1.76,67,Bodø,Human Powered Health,5,1832,31,NO
Stanisław Aniołkowski,1.81,68,Warsaw,Human Powered Health,200,291,26,PL
Gijs Van Hoecke,1.86,78,Gent,Human Powered Health,20,1170,31,BE
Alan Banaszek,1.81,75,Warsaw,Human Powered Health,256.4299999,248,25,PL
Benjamin Perry,1.81,71,St. Catharines,Human Powered Health,120,422,28,CA
Sebastian Schönberger,1.82,64,Linz,Human Powered Health,117,428,28,AT
Sasha Weemaes,1.77,73,Sint-Niklaas,Human Powered Health,163,343,25,BE
Barnabás Peák,1.83,74,Budapest,Human Powered Health,167,330,24,HU
Kristian Aasvold,1.73,61,Snåsa,Human Powered Health,15,1302,27,NO
Paul Double,1.71,56,Winchester,Human Powered Health,169,328,26,GB
Matthew Gibson,1.83,76,Warrington,Human Powered Health,8,1610,26,GB
Gage Hecht,1.8,72,New Orleans,Human Powered Health,0,,25,US
Wessel Krul,1.83,75,Enkhuizen,Human Powered Health,0,,23,NL
Charles-Étienne Chrétien,1.77,65,Amos,Human Powered Health,2,2123,23,CA
Cory Greenberg,1.77,72,Simi Valley,Human Powered Health,0,,35,US
Chris Froome,1.86,68,Nairobi,Israel - Premier Tech,92,523,37,GB
Jakob Fuglsang,1.81,65,Geneva,Israel - Premier Tech,397,148,37,DK
Giacomo Nizzolo,1.84,72,Milan,Israel - Premier Tech,450,128,34,IT
Sep Vanmarcke,1.89,77,Kortrijk,Israel - Premier Tech,292,220,34,BE
Ben Hermans,1.86,72,Hasselt,Israel - Premier Tech,0,,36,BE
Michael Woods,1.75,64,Toronto,Israel - Premier Tech,451,127,36,CA
Daryl Impey,1.83,70,Johannesburg,,199,293,38,ZA
Dylan Teuns,1.81,64,Diest,Israel - Premier Tech,948,39,31,BE
Simon Clarke,1.75,63,Melbourne,Israel - Premier Tech,453,122,36,AU
Tom Van Asbroeck,1.82,72,Aalst,Israel - Premier Tech,124,415,32,BE
Hugo Houle,1.82,72,Sainte-Perpétue,Israel - Premier Tech,531,94,32,CA
Guillaume Boivin,1.8,78,Montreal,Israel - Premier Tech,166,331,33,CA
Krists Neilands,1.89,69,Ventspils,Israel - Premier Tech,198,295,28,LV
Rick Zabel,1.84,77,Unna,Israel - Premier Tech,75,594,29,DE
Reto Hollenstein,1.97,80,Frauenfeld,Israel - Premier Tech,50,746,37,CH
Nick Schultz,1.8,68,Brisbane,Israel - Premier Tech,326,197,28,AU
Mads Würtz Schmidt,1.76,70,Randers,Israel - Premier Tech,55,706,28,DK
Corbin Strong,1.71,63,Invercargill,Israel - Premier Tech,453,125,22,NZ
Itamar Einhorn,1.72,72,Modi'in,Israel - Premier Tech,193,300,25,IL
Omer Goldstein,1.74,61,Misgav,Israel - Premier Tech,152,362,26,IL
Stephen Williams,1.83,59,Aberystwyth,Israel - Premier Tech,79,581,26,GB
Sebastian Berwick,1.75,59,Brisbane,Israel - Premier Tech,102,478,23,AU
Jens Reynders,1.84,76,Tongeren,Israel - Premier Tech,60,675,24,BE
Guy Sagiv,1.8,68,Namur,Israel - Premier Tech,15,1303,28,IL
Matthew Riccitello,1.72,55,Tucson,Israel - Premier Tech,105,469,21,US
Taj Jones,1.88,72,Nambour,Israel - Premier Tech,25,1089,22,AU
Derek Gee,1.89,76,Ottawa,Israel - Premier Tech,56,704,25,CA
Marco Frigo,1.88,65,Bassano del Grappa,Israel - Premier Tech,39,870,23,IT
Mason Hollyman,1.74,59,Huddersfield,Israel - Premier Tech,18,1227,22,GB
Caleb Ewan,1.67,69,Sydney,Lotto Dstny,733,57,28,AU
Thomas De Gendt,1.79,73,Sint-Niklaas,Lotto Dstny,135,390,36,BE
Victor Campenaerts,1.73,68,Hoboken,Lotto Dstny,363,170,31,BE
Jasper De Buyst,1.79,74,Asse,Lotto Dstny,201,288,29,BE
Eduardo Sepúlveda,1.73,59,Rawson,Lotto Dstny,233,266,31,AR
Arnaud De Lie,1.82,78,Libramont,Lotto Dstny,1580,6,20,BE
Jacopo Guarnieri,1.9,80,Vizzolo Predabissi,Lotto Dstny,49,751,35,IT
Rüdiger Selig,1.88,80,Zwenkau,Lotto Dstny,72,606,34,DE
Andreas Kron,1.77,63,Albertslund,Lotto Dstny,453,123,24,DK
Milan Menten,1.74,68,Bilzen,Lotto Dstny,351,179,26,BE
Pascal Eenkhoorn,1.85,70,Genemuiden,Lotto Dstny,153,361,26,NL
Florian Vermeersch,1.93,85,Ghent,Lotto Dstny,271,236,23,BE
Michael Schwarzmann,1.74,69,Kempten,Lotto Dstny,39,869,32,DE
Maxim Van Gils,1.74,63,Brasschaat,Lotto Dstny,321,200,23,BE
Brent Van Moer,1.91,79,Beveren,Lotto Dstny,120,423,25,BE
Arjen Livyns,1.7,58,Waregem,Lotto Dstny,90,539,28,BE
Sylvain Moniquet,1.75,61,Namur,Lotto Dstny,304,210,25,BE
Frederik Frison,1.94,84,Geel,Lotto Dstny,55,708,30,BE
Cedric Beullens,1.9,79,Onze-Lieve-Vrouw-Waver,Lotto Dstny,163,342,26,BE
Harry Sweeny,1.86,75,Warwick,Lotto Dstny,78,583,24,AU
Mathijs Paasschens,1.88,75,Rotterdam,Lotto Dstny,116,432,26,NL
Lennert Van Eetvelt,1.75,63,Tienen,Lotto Dstny,206.33,282,21,BE
Sébastien Grignard,1.79,68,Mons,Lotto Dstny,40,860,23,BE
Jarrad Drizners,1.86,70,Adelaide,Lotto Dstny,20,1175,23,AU
Johannes Adamietz,1.74,61,Ulm,Lotto Dstny,25,1081,24,DE
Liam Slock,1.88,78,Ghent,Lotto Dstny,5,1864,22,BE
Valerio Conti,1.72,61,Rome,Team Corratec,15,1291,29,IT
Nicolás Tivani German,1.76,67,Pocito,Team Corratec,104,471,27,AR
Etienne Van Empel,1.86,64,Tricht,Team Corratec,6,1778,28,NL
Attilio Viviani,1.74,69,Vallese,Team Corratec,28,1019,26,IT
Alexander Konychev,1.85,76,Verona,Team Corratec,30,984,24,IT
Veljko Stojnić,1.87,73,Sombor,Team Corratec,24,1102,24,RS
Stefano Gandin,1.85,69,Vittorio Veneto,Team Corratec,30,979,26,IT
Samuele Zambelli,1.8,70,Rovereto,Team Corratec,1,2252,24,IT
Antonio Barać,1.9,73,Livno,Team Corratec,25,1080,26,HR
Alessandro Iacchi,1.7,59,Borgo San Lorenzo,Team Corratec,45,799,23,IT
Charlie Quarterman,1.8,75,Oxford,Team Corratec,6,1785,24,GB
Lorenzo Quartucci,1.7,64,Sansepolcro,Team Corratec,10,1520,23,IT
Karel Vacek,1.78,60,Prague,Team Corratec,6,1790,22,CZ
Simone Olivero,1.7,62,Savigliano,Team Corratec,0,,21,IT
Péter Kusztor,1.79,61,Budapest,Team Novo Nordisk,21,1147,38,HU
Andrea Peron,1.78,70,Borgoricco,Team Novo Nordisk,40,846,34,IT
David Lozano,1.78,63,Terrassa,Team Novo Nordisk,30,970,34,ES
Charles Planet,1.79,71,Remiremont,Team Novo Nordisk,1,2232,29,FR
Joonas Henttala,1.87,73,Porvoo,Team Novo Nordisk,0,,31,FI
Sam Brand,1.85,76,Peel,Team Novo Nordisk,0,,32,GB
Stephen Clancy,1.71,63,Limerick,Team Novo Nordisk,0,,30,IE
Declan Irvine,1.78,75,Newcastle,Team Novo Nordisk,0,,23,AU
Hamish Beadle,1.67,64,Te Anau,Team Novo Nordisk,0,,24,NZ
Peter Sagan,1.82,78,Žilina,TotalEnergies,475,116,33,SK
Edvald Boasson Hagen,1.85,75,Rudsbygd,TotalEnergies,317,202,35,NO
Julien Simon,1.76,65,Rennes,TotalEnergies,633,72,37,FR
Pierre Latour,1.8,66,Romans-sur-Isère,TotalEnergies,424,138,29,FR
Alexis Vuillermoz,1.73,60,Saint-Claude,TotalEnergies,355,178,34,FR
Daniel Oss,1.91,75,Trento,TotalEnergies,47,770,36,IT
Anthony Turgis,1.78,70,Bourg-la-Reine,TotalEnergies,478,112,28,FR
Maciej Bodnar,1.86,77,Oława,TotalEnergies,81,575,37,PL
Víctor De La Parte,1.81,64,Vitoria-Gasteiz,TotalEnergies,82,569,36,ES
Lorrenzo Manzin,1.75,69,Saint-Denis,TotalEnergies,277,231,28,FR
Dries Van Gestel,1.87,71,Turnhout,TotalEnergies,545,91,28,BE
Geoffrey Soupe,1.77,70,Viriat,TotalEnergies,163,340,34,FR
Steff Cras,1.83,65,Geel,TotalEnergies,292,221,27,BE
Mathieu Burgaudeau,1.68,61,Noirmoutier-en-l'Île,TotalEnergies,330,195,24,FR
Jason Tesson,1.66,59,Angers,TotalEnergies,343,187,25,FR
Valentin Ferron,1.74,67,Vienne,TotalEnergies,304,211,25,FR
Fabien Doubey,1.74,62,Viriat,TotalEnergies,93,516,29,FR
Fabien Grellier,1.75,65,La Roche-sur-Yon,TotalEnergies,47,771,28,FR
Paul Ourselin,1.85,70,Saint-Pierre-sur-Dives,TotalEnergies,94,511,28,FR
Jérémy Cabot,1.92,76,Troyes,TotalEnergies,10,1492,31,FR
Sébastien Reichenbach,1.78,64,Martigny,Tudor Pro Cycling Team,309,206,33,CH
Alexander Kamp,1.86,74,Copenhagen,Tudor Pro Cycling Team,252,251,29,DK
Arvid De Kleijn,1.71,68,Herveld,Tudor Pro Cycling Team,147,368,28,NL
Tom Bohli,1.83,71,Uznach,Tudor Pro Cycling Team,63,644,29,CH
Simon Pellaud,1.79,70,Martigny,Tudor Pro Cycling Team,35,907,30,CH
Roland Thalmann,1.78,61,Romoos,Tudor Pro Cycling Team,74,597,29,CH
Lucas Eriksson,1.79,64,Gånghester,Tudor Pro Cycling Team,103.33,473,26,SE
Joel Suter,1.9,75,Frutigen,Tudor Pro Cycling Team,73,601,24,CH
Robin Froidevaux,1.82,71,Morges,Tudor Pro Cycling Team,49.33000001,750,24,CH
Mika Heming,1.83,68,Ahaus,Tudor Pro Cycling Team,93,520,22,DE
Rick Pluimers,1.79,67,Enter,Tudor Pro Cycling Team,35,915,22,NL
Maikel Zijlaard,1.87,73,Rotterdam,Tudor Pro Cycling Team,79.67000002,580,23,NL
Aloïs Charrin,1.79,67,Lyon,Tudor Pro Cycling Team,7,1711,22,FR
Alexander Kristoff,1.81,78,Stavanger,Uno-X Pro Cycling Team,1376,9,35,NO
Kristoffer Halvorsen,1.79,69,Kristiansand,Uno-X Pro Cycling Team,84,562,26,NO
Rasmus Tiller,1.87,84,Trondheim,Uno-X Pro Cycling Team,272,234,26,NO
Norman Leth Lasse,1.8,75,Odense,Uno-X Pro Cycling Team,69,620,31,DK
Niklas Eg,1.83,60,Kibæk,Uno-X Pro Cycling Team,106,463,28,DK
Halland Johannessen Tobias,1.76,62,Drøbak,Uno-X Pro Cycling Team,376,161,23,NO
Jonas Gregaard,1.86,66,Herlev,Uno-X Pro Cycling Team,181,319,26,DK
Anthon Charmig,1.82,66,Aarhus,Uno-X Pro Cycling Team,231,267,24,DK
Niklas Larsen,1.8,74,Slagelse,Uno-X Pro Cycling Team,5,1844,25,DK
Erlend Blikra,1.83,75,Stavanger,Uno-X Pro Cycling Team,111,440,26,NO
Jacob Hindsgaul,1.87,67,Middelfart,Uno-X Pro Cycling Team,34,929,22,DK
Jonas Abrahamsen,1.83,78,Skien,Uno-X Pro Cycling Team,18,1212,27,NO
Stian Fredheim,1.83,72,Kristiansand,Uno-X Pro Cycling Team,40.17,845,19,NO
Marcus Sander Hansen,1.82,68,Greve Strand,Uno-X Pro Cycling Team,7,1676,22,DK
Sindre Kulset,1.8,68,Oslo,Uno-X Pro Cycling Team,0,,24,NO
Magnus Kulset,1.74,58,Oslo,Uno-X Pro Cycling Team,0,,22,NO
