Rider Name,Height(m),Weight(kg),Hometown,Team,UCI Ranking Points,UCI Ranking Position,Age,Nationality
Joshua Tarling,1.94,88,Aberaeron,INEOS Grenadiers,19.56999993,1189,19,GB
Michael Leonard,1.7,60,Oakville,INEOS Grenadiers,0,,18,CA
Rui Costa,1.87,75,Póvoa de Varzim,Intermarché - Circus - Wanty,606,76,36,PT
Rein Taaramäe,1.86,68,Tartu,Intermarché - Circus - Wanty,246,255,35,EE
Louis Meintjes,1.73,58,Pretoria,Intermarché - Circus - Wanty,899,44,31,ZA
Baptiste Planckaert,1.77,65,Kortrijk,Intermarché - Circus - Wanty,164,338,34,BE
Mike Teunissen,1.84,73,Ysselsteyn,Intermarché - Circus - Wanty,303,212,30,NL
Niccolò Bonifazio,1.76,72,Coni,Intermarché - Circus - Wanty,108,450,29,IT
Lilian Calmejane,1.84,69,Albi,Intermarché - Circus - Wanty,147,367,30,FR
Adrien Petit,1.88,80,Arras,Intermarché - Circus - Wanty,228,270,32,FR
Dion Smith,1.79,67,Taupaki,Intermarché - Circus - Wanty,235,265,30,NZ
Lorenzo Rota,1.73,62,Bergamo,Intermarché - Circus - Wanty,888,47,27,IT
Biniam Girmay,1.84,70,Asmara,Intermarché - Circus - Wanty,1105,24,22,ER
Loïc Vliegen,1.84,70,Rocourt,Intermarché - Circus - Wanty,282,229,29,BE
Taco Van Der Hoorn,1.87,73,Rotterdam,Intermarché - Circus - Wanty,342,188,29,NL
Boy Van Poppel,1.86,78,Utrecht,Intermarché - Circus - Wanty,36,895,35,NL
Erik Bystrøm Sven,1.88,73,Haugesund,Intermarché - Circus - Wanty,220,272,31,NO
Aimé De Gendt,1.82,75,Denderhoutem,Intermarché - Circus - Wanty,68,625,28,BE
Georg Zimmermann,1.81,70,Augsburg,Intermarché - Circus - Wanty,372,167,25,DE
Gerben Thijssen,1.74,74,Genk,Intermarché - Circus - Wanty,526,96,24,BE
Simone Petilli,1.78,65,Bellano,Intermarché - Circus - Wanty,35,910,29,IT
Kobe Goossens,1.78,64,Leuven,Intermarché - Circus - Wanty,253,249,26,BE
Rune Herregodts,1.81,70,Aalst,Intermarché - Circus - Wanty,199,294,24,BE
Arne Marit,1.85,72,Galmaarden,Intermarché - Circus - Wanty,105,468,24,BE
Hugo Page,1.85,71,Chartres,Intermarché - Circus - Wanty,423,139,21,FR
Julius Johansen,1.88,75,Blovstrød,Intermarché - Circus - Wanty,78,584,23,DK
Madis Mihkels,1.84,75,Tartu,Intermarché - Circus - Wanty,165.67,332,19,EE
Laurenz Rex,1.93,82,Marbourg,Intermarché - Circus - Wanty,71,612,23,BE
Tom Paquot,1.84,70,Rocourt,Intermarché - Circus - Wanty,33,938,23,BE
Dries De Pooter,1.81,66,Geel,Intermarché - Circus - Wanty,10,1539,20,BE
Primož Roglič,1.77,65,Trbovlje,Jumbo-Visma,1175,21,33,SI
Robert Gesink,1.89,70,Varsseveld,Jumbo-Visma,90,538,36,NL
Wout Van Aert,1.9,78,Herentals,Jumbo-Visma,2619,3,28,BE
Wilco Kelderman,1.85,65,Amersfoort,Jumbo-Visma,436,133,31,NL
Rohan Dennis,1.82,72,Adelaide,,283,226,32,AU
Tiesj Benoot,1.9,72,Ghent,Jumbo-Visma,784,54,28,BE
Steven Kruijswijk,1.78,63,Nuenen,Jumbo-Visma,183,316,35,NL
Christophe Laporte,1.91,76,La Seyne-sur-Mer,Jumbo-Visma,1307,14,30,FR
Dylan Van Baarle,1.87,78,Voorburg,Jumbo-Visma,915,41,30,NL
Jonas Vingegaard,1.75,60,Hillerslev,Jumbo-Visma,2074,4,26,DK
Jos Van Emden,1.86,78,Schiedam,Jumbo-Visma,85,555,38,NL
Sam Oomen,1.77,65,Tilburg,Jumbo-Visma,199,292,27,NL
Sepp Kuss,1.8,61,Durango,Jumbo-Visma,385,157,28,US
Tosh Van Der Sande,1.78,67,Wijnegem,Jumbo-Visma,85,556,32,BE
Jan Tratnik,1.73,67,Ljubljana,Jumbo-Visma,358,175,33,SI
Timo Roosen,1.94,78,Tilburg,Jumbo-Visma,132,395,30,NL
Olav Kooij,1.84,72,Numansdorp,Jumbo-Visma,1013,33,21,NL
Attila Valter,1.85,65,Csömör,Jumbo-Visma,371,168,24,HU
Koen Bouwman,1.78,60,Ulft,Jumbo-Visma,419,140,29,NL
Tobias Foss,1.84,74,Vingrom,Jumbo-Visma,475,117,25,NO
Edoardo Affini,1.92,80,Mantua,Jumbo-Visma,159.3299999,350,26,IT
Nathan Van Hooydonck,1.93,78,Gooreind,Jumbo-Visma,190,305,27,BE
Lennard Hofstede,1.86,73,Poeldijk,Jumbo-Visma,15,1300,28,NL
Mick Van Dijke,1.9,74,Colijnsplaat,Jumbo-Visma,193,301,22,NL
Gijs Leemreize,1.9,74,Ruurlo,Jumbo-Visma,239,263,23,NL
Thomas Gloag,1.75,60,East Dulwich,Jumbo-Visma,154,360,21,GB
Tim Van Dijke,1.9,74,Goes,Jumbo-Visma,53,731,22,NL
Michel Hessmann,1.9,78,Münster,Jumbo-Visma,60.82999998,665,21,DE
Milan Vader,1.73,63,Middelburg,Jumbo-Visma,18,1221,27,NL
Joaquín Rojas José,1.77,70,Cieza,Movistar Team,143,374,37,ES
Enric Mas,1.77,61,Artà,Movistar Team,1226,17,28,ES
Fernando Gaviria,1.8,71,La Ceja,Movistar Team,518,98,28,CO
Gorka Izagirre,1.76,66,Ormaiztegi,Movistar Team,201,287,35,ES
Nelson Oliveira,1.8,67,Anadia,Movistar Team,165,334,34,PT
Ruben Guerreiro,1.78,65,Montijo,Movistar Team,701,64,28,PT
Alex Aranburu,1.78,63,Ezkio-Itsaso,Movistar Team,592,80,27,ES
Imanol Erviti,1.89,82,Pamplona,Movistar Team,40,848,39,ES
Iván García Cortina,1.83,77,Gijón,Movistar Team,574,83,27,ES
Ramiro Sosa Iván,1.68,58,Pasca,Movistar Team,412,144,25,CO
Carlos Verona,1.86,68,San Lorenzo de El Escorial,Movistar Team,409,145,30,ES
Gregor Mühlberger,1.8,64,Haidershofen,Movistar Team,126,411,28,AT
Antonio Pedrero,1.77,60,Terrassa,Movistar Team,317,201,31,ES
Gonzalo Serrano,1.77,65,Madrid,Movistar Team,315,205,28,ES
Óscar Rodríguez,1.79,63,Burlada,Movistar Team,149,365,27,ES
Max Kanter,1.76,68,Cottbus,Movistar Team,446,129,25,DE
Matteo Jorgenson,1.9,65,Walnut Creek,Movistar Team,548,90,23,US
Lluís Mas,1.81,69,Ses Salines,Movistar Team,64,636,33,ES
Augusto Rubio Einer,1.64,56,Chíquiza,Movistar Team,416,143,25,CO
Mathias Norsgaard,2.02,81,Silkeborg,Movistar Team,61,660,25,DK
Will Barta,1.8,61,Boise,Movistar Team,116,431,27,US
Jorge Arcas,1.87,68,Sabiñánigo,Movistar Team,80,577,30,ES
Albert Torres,1.8,70,Ciutadella de Menorca,Movistar Team,45,787,32,ES
Sergio Samitier,1.81,63,Barbastro,Movistar Team,10,1510,27,ES
Abner González,1.74,60,Moca,Movistar Team,56,705,22,PR
Oier Lazkano,1.89,74,Vitoria-Gasteiz,Movistar Team,157,356,23,ES
Johan Jacobs,1.92,78,Winterthur,Movistar Team,56,703,26,CH
Juri Hollmann,1.85,70,Berlin,Movistar Team,27,1050,23,DE
Vinicius Rangel,1.78,64,Cabo Frio,Movistar Team,32,954,21,BR
Iván Romeo,1.93,75,Valladolid,Movistar Team,16,1285,19,ES
Julian Alaphilippe,1.73,62,Saint-Amand-Montrond,Soudal - Quick Step,434,135,30,FR
Remco Evenepoel,1.71,61,Aalst,Soudal - Quick Step,2778.14,2,23,BE
Yves Lampaert,1.8,75,Izegem,Soudal - Quick Step,387,153,31,BE
Dries Devenyns,1.77,65,Leuven,Soudal - Quick Step,38,881,39,BE
Florian Sénéchal,1.79,77,Cambrai,Soudal - Quick Step,364,169,29,FR
Tim Merlier,1.85,80,Wortegem-Petegem,Soudal - Quick Step,1119.14,22,30,BE
Fabio Jakobsen,1.81,78,Gorinchem,Soudal - Quick Step,693,65,26,NL
Kasper Asgreen,1.92,75,Kolding,Soudal - Quick Step,160,349,28,DK
Michael Mørkøv,1.83,71,Kokkedal,Soudal - Quick Step,131,398,37,DK
Fausto Masnada,1.82,65,Bergamo,Soudal - Quick Step,64,639,29,IT
Mattia Cattaneo,1.84,67,Alzano Lombardo,Soudal - Quick Step,98,495,32,IT
Pieter Serry,1.86,66,Aalter,Soudal - Quick Step,61.13999987,654,34,BE
Jan Hirt,1.81,62,Třebíč,Soudal - Quick Step,385,156,32,CZ
Davide Ballerini,1.83,77,Cantù,Soudal - Quick Step,344,185,28,IT
Rémi Cavagna,1.86,78,Clermont-Ferrand,Soudal - Quick Step,333,193,27,FR
Josef Černý,1.88,77,Frýdek-Místek,Soudal - Quick Step,165.1399999,333,29,CZ
Bert Van Lerberghe,1.9,83,Kortrijk,Soudal - Quick Step,135.1399999,388,30,BE
James Knox,1.73,58,Kendal,Soudal - Quick Step,109,448,27,GB
Tim Declercq,1.9,78,Leuven,Soudal - Quick Step,38,880,33,BE
Andrea Bagioli,1.76,60,Sondrio,Soudal - Quick Step,416,142,23,IT
Mauri Vansevenant,1.75,60,Ostend,Soudal - Quick Step,505,102,23,BE
Mauro Schmid,1.87,70,Bülach,Soudal - Quick Step,724.8099999,61,23,CH
Jannik Steimle,1.87,73,Weilheim an der Teck,Soudal - Quick Step,114.83,434,26,DE
Casper Pedersen,1.86,74,Copenhagen,Soudal - Quick Step,137,384,26,DK
Louis Vervaeke,1.81,68,Ronse,Soudal - Quick Step,105.1399999,466,29,BE
Ilan Van Wilder,1.71,64,Jette,Soudal - Quick Step,338,191,22,BE
Ethan Vernon,1.88,74,Bedford,Soudal - Quick Step,374,165,22,GB
Stan Van Tricht,1.74,64,Leuven,Soudal - Quick Step,141,377,23,BE
Martin Svrček,1.75,66,Nesluša,Soudal - Quick Step,7,1742,20,SK
Nacer Bouhanni,1.75,65,Épinal,Team Arkéa Samsic,298,215,32,FR
Warren Barguil,1.82,61,Hennebont,Team Arkéa Samsic,641,71,31,FR
Hugo Hofstetter,1.7,65,Altkirch,Team Arkéa Samsic,808,52,29,FR
Maxime Bouet,1.84,67,Belley,Team Arkéa Samsic,87,547,36,FR
Nicolas Edet,1.76,60,La Ferté-Bernard,Team Arkéa Samsic,205,284,35,FR
Laurent Pichon,1.78,69,Quimper,Team Arkéa Samsic,187,310,36,FR
Anthony Delaplace,1.81,65,Valognes,Team Arkéa Samsic,190,304,33,FR
Amaury Capiot,1.87,69,Tongeren,Team Arkéa Samsic,487,111,29,BE
Daniel Mclay,1.85,72,Wellington,Team Arkéa Samsic,217,275,31,GB
Luca Mozzato,1.78,67,Arzignano,Team Arkéa Samsic,686,66,25,IT
Élie Gesbert,1.81,63,Saint-Brieuc,Team Arkéa Samsic,165,335,27,FR
Clément Champoussin,1.8,61,Nice,Team Arkéa Samsic,243,259,24,FR
